Midwest (PADD 2) Percent Utilization of Refinery Operable Capacity
https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=MOPUEP22&f=M
19:50:18 GMT-0600 (Mountain Daylight Time)
Source: U.S. Energy Information Administration
Month,Midwest (PADD 2) Percent Utilization of Refinery Operable Capacity Percent
Apr 2007,92
Mar 2007,90.4
Feb 2007,90.1
Jan 2007,92.3
Dec 2006,92.4
Nov 2006,89.5
Oct 2006,88
Sep 2006,93.4
Aug 2006,96.9
Jul 2006,93.1
Jun 2006,96.8
May 2006,94.8
Apr 2006,90.4
Mar 2006,87.5
Feb 2006,90.9
Jan 2006,94.7
Dec 2005,92.5
Nov 2005,93.7
Oct 2005,93
Sep 2005,95
Aug 2005,92.4
Jul 2005,95.3
Jun 2005,96.9
May 2005,97.3
Apr 2005,90.9
Mar 2005,83.9
Feb 2005,90.4
Jan 2005,92.9
Dec 2004,95.6
Nov 2004,94.3
Oct 2004,93.1
Sep 2004,92.2
Aug 2004,96.3
Jul 2004,96.7
Jun 2004,99.1
May 2004,98.3
Apr 2004,93.1
Mar 2004,82.2
Feb 2004,91.8
Jan 2004,90.8
Dec 2003,86.9
Nov 2003,93.7
Oct 2003,87.3
Sep 2003,88.8
Aug 2003,94.5
Jul 2003,94.2
Jun 2003,98.3
May 2003,97.7
Apr 2003,91.8
Mar 2003,88
Feb 2003,89
Jan 2003,89.3
Dec 2002,87.1
Nov 2002,90.7
Oct 2002,84.2
Sep 2002,92.6
Aug 2002,94.5
Jul 2002,95.2
Jun 2002,96.3
May 2002,92.6
Apr 2002,92.8
Mar 2002,83.1
Feb 2002,86.5
Jan 2002,84.9
Dec 2001,91.5
Nov 2001,87.7
Oct 2001,92.1
Sep 2001,95.3
Aug 2001,95.1
Jul 2001,96.4
Jun 2001,99.1
May 2001,97.7
Apr 2001,97.7
Mar 2001,89
Feb 2001,90.5
Jan 2001,93.9
Dec 2000,93
Nov 2000,93.2
Oct 2000,92.2
Sep 2000,97.3
Aug 2000,97.1
Jul 2000,99.2
Jun 2000,101.7
May 2000,99
Apr 2000,95.3
Mar 2000,88
Feb 2000,86.1
Jan 2000,88.2
Dec 1999,88.6
Nov 1999,91.4
Oct 1999,92.4
Sep 1999,93.9
Aug 1999,98.6
Jul 1999,97.1
Jun 1999,97.4
May 1999,97.2
Apr 1999,94.5
Mar 1999,86.1
Feb 1999,90.9
Jan 1999,91.1
Dec 1998,94.4
Nov 1998,95.5
Oct 1998,93.5
Sep 1998,94.2
Aug 1998,100.4
Jul 1998,101.6
Jun 1998,101.2
May 1998,99.2
Apr 1998,96.1
Mar 1998,93.5
Feb 1998,98
Jan 1998,99
Dec 1997,99.3
Nov 1997,98.1
Oct 1997,99.5
Sep 1997,103.8
Aug 1997,103.9
Jul 1997,101.1
Jun 1997,103.9
May 1997,102.5
Apr 1997,92.2
Mar 1997,91.3
Feb 1997,96.1
Jan 1997,95.1
Dec 1996,96.3
Nov 1996,98.8
Oct 1996,97.1
Sep 1996,99.1
Aug 1996,99.6
Jul 1996,100.6
Jun 1996,101.6
May 1996,99.2
Apr 1996,97.8
Mar 1996,96.5
Feb 1996,91.9
Jan 1996,93.2
Dec 1995,95.2
Nov 1995,94.1
Oct 1995,94
Sep 1995,99.4
Aug 1995,97.2
Jul 1995,97
Jun 1995,98.4
May 1995,94.1
Apr 1995,92.9
Mar 1995,85.3
Feb 1995,90.4
Jan 1995,95.1
Dec 1994,96.7
Nov 1994,97
Oct 1994,92.8
Sep 1994,100.4
Aug 1994,100.8
Jul 1994,100.3
Jun 1994,102.5
May 1994,101.4
Apr 1994,100.9
Mar 1994,92.2
Feb 1994,95.9
Jan 1994,93.1
Dec 1993,95.5
Nov 1993,97.7
Oct 1993,96.7
Sep 1993,97
Aug 1993,97.1
Jul 1993,97.5
Jun 1993,99.2
May 1993,94.4
Apr 1993,90.6
Mar 1993,92.5
Feb 1993,90.5
Jan 1993,91.6
Dec 1992,90.5
Nov 1992,93
Oct 1992,92.6
Sep 1992,95.5
Aug 1992,97.5
Jul 1992,97.6
Jun 1992,96.2
May 1992,96.4
Apr 1992,84.2
Mar 1992,88.8
Feb 1992,90.8
Jan 1992,89.8
Dec 1991,92.4
Nov 1991,87.6
Oct 1991,90.8
Sep 1991,96.6
Aug 1991,94.2
Jul 1991,97.6
Jun 1991,96.7
May 1991,96
Apr 1991,90.9
Mar 1991,90.4
Feb 1991,87.9
Jan 1991,86.6
Dec 1990,87.2
Nov 1990,86.7
Oct 1990,87.4
Sep 1990,97.3
Aug 1990,97.3
Jul 1990,99.5
Jun 1990,97.7
May 1990,92.2
Apr 1990,89.8
Mar 1990,87.6
Feb 1990,91
Jan 1990,89.8
Dec 1989,90.5
Nov 1989,85
Oct 1989,81.2
Sep 1989,92.5
Aug 1989,95.4
Jul 1989,94.3
Jun 1989,93.2
May 1989,86.3
Apr 1989,83.9
Mar 1989,87.8
Feb 1989,89.8
Jan 1989,90.2
Dec 1988,90.2
Nov 1988,87.1
Oct 1988,86
Sep 1988,89.7
Aug 1988,93.7
Jul 1988,91.2
Jun 1988,91.1
May 1988,89.3
Apr 1988,88.3
Mar 1988,87.9
Feb 1988,85
Jan 1988,84
Dec 1987,86.3
Nov 1987,87.5
Oct 1987,85.9
Sep 1987,89.4
Aug 1987,91.7
Jul 1987,90.7
Jun 1987,88.4
May 1987,85.2
Apr 1987,87.8
Mar 1987,82.1
Feb 1987,83.6
Jan 1987,84.8
Dec 1986,88.7
Nov 1986,89
Oct 1986,85.2
Sep 1986,87.1
Aug 1986,92
Jul 1986,88.6
Jun 1986,88.6
May 1986,86.8
Apr 1986,81.8
Mar 1986,79.8
Feb 1986,78.9
Jan 1986,84.5
Dec 1985,81.9
Nov 1985,84.3
Oct 1985,81.6
Sep 1985,83.1
Aug 1985,86.8
Jul 1985,85.7
Jun 1985,83.9
May 1985,80.5
Apr 1985,78.8
Mar 1985,74.5
Feb 1985,76.3
Jan 1985,80
