U.S. FOB Costs of Mexican Mayan Crude Oil Monthly
https://www.eia.gov/opendata/qb.php?category=330447&sdid=PET.IMX2810004.M
18:33:29 GMT-0600 (Mountain Daylight Time)
Source: U.S. Energy Information Administration
Month,Series ID: PET.IMX2810004.M Dollars per Barrel
Mar 2008,85.58
Feb 2008,78.17
Jan 2008,78.48
Dec 2007,77.53
Nov 2007,77.78
Oct 2007,70.98
Sep 2007,64.82
Aug 2007,60.65
Jul 2007,63.4
Jun 2007,58.61
May 2007,54.09
Apr 2007,52.33
Mar 2007,48.23
Feb 2007,46
Jan 2007,42.09
Dec 2006,47.87
Nov 2006,46.41
Oct 2006,46.56
Sep 2006,50.38
Aug 2006,58.75
Jul 2006,57.83
Jun 2006,53.41
May 2006,55.32
Apr 2006,55.11
Mar 2006,48.62
Feb 2006,45.97
Jan 2006,47.8
Dec 2005,42.94
Nov 2005,41.06
Oct 2005,45.85
Sep 2005,50.08
Aug 2005,48.3
Jul 2005,44.38
Jun 2005,43.09
May 2005,39.06
Apr 2005,38.31
Mar 2005,36.55
Feb 2005,31.95
Jan 2005,29.69
Dec 2004,26.91
Nov 2004,30.75
Oct 2004,38.48
Sep 2004,33.5
Aug 2004,32.53
Jul 2004,31.55
Jun 2004,29.36
May 2004,31.48
Apr 2004,28.75
Mar 2004,27.1
Feb 2004,25.11
Jan 2004,25.7
Dec 2003,24.66
Nov 2003,24.21
Oct 2003,23.77
Sep 2003,22.38
Aug 2003,25.38
Jul 2003,25.15
Jun 2003,23.69
May 2003,21.96
Apr 2003,20.83
Mar 2003,23.84
Feb 2003,27.64
Jan 2003,27.65
Dec 2002,23.35
Nov 2002,19.86
Oct 2002,22.67
Sep 2002,24.61
Aug 2002,23.01
Jul 2002,21.57
Jun 2002,21.56
May 2002,22.17
Apr 2002,21.57
Mar 2002,19.44
Feb 2002,14.58
Jan 2002,13.15
Dec 2001,13.03
Nov 2001,12.95
Oct 2001,15.29
Sep 2001,19.48
Aug 2001,19.08
Jul 2001,18.13
Jun 2001,18.62
May 2001,17.78
Apr 2001,15.84
Mar 2001,16.82
Feb 2001,18.8
Jan 2001,18.67
Dec 2000,18.71
Nov 2000,23.8
Oct 2000,25.19
Sep 2000,26.11
Aug 2000,24.44
Jul 2000,22.91
Jun 2000,25.09
May 2000,23.59
Apr 2000,20.29
Mar 2000,23.26
Feb 2000,23.97
Jan 2000,21.44
Dec 1999,20.11
Nov 1999,19.6
Oct 1999,18.44
Sep 1999,19.15
Aug 1999,17.32
Jul 1999,15.42
Jun 1999,13.18
May 1999,12.75
Apr 1999,12.66
Mar 1999,9.99
Feb 1999,7.15
Jan 1999,7.37
Dec 1998,6.37
Nov 1998,8.21
Oct 1998,9.6
Sep 1998,9.57
Aug 1998,8.46
Jul 1998,9.16
Jun 1998,8.47
May 1998,9.31
Apr 1998,9.29
Mar 1998,7.79
Feb 1998,9.06
Jan 1998,9.7
Dec 1997,11.49
Nov 1997,14.42
Oct 1997,15.93
Sep 1997,14.87
Aug 1997,14.97
Jul 1997,14.43
Jun 1997,14.12
May 1997,15.34
Apr 1997,14.49
Mar 1997,14.89
Feb 1997,15.97
Jan 1997,18.47
Dec 1996,19.36
Nov 1996,19.15
Oct 1996,20.81
Sep 1996,19.36
Aug 1996,17.17
Jul 1996,16.14
Jun 1996,15.8
May 1996,16.34
Apr 1996,17.69
Mar 1996,16.66
Feb 1996,15.32
Jan 1996,14.85
Dec 1995,15.06
Nov 1995,13.47
Oct 1995,13.1
Sep 1995,13.5
Aug 1995,13.26
Jul 1995,13.42
Jun 1995,14.88
May 1995,16.22
Apr 1995,15.99
Mar 1995,14.86
Feb 1995,14.6
Jan 1995,13.82
Dec 1994,13.53
Nov 1994,14.04
Oct 1994,13.42
Sep 1994,12.22
Aug 1994,13.32
Jul 1994,14.46
Jun 1994,13.7
May 1994,12.32
Apr 1994,11.41
Mar 1994,10.01
Feb 1994,9.87
Jan 1994,9.9
Dec 1993,9.13
Nov 1993,10.33
Oct 1993,11.9
Sep 1993,11.83
Aug 1993,11.72
Jul 1993,11.5
Jun 1993,11.91
May 1993,13.19
Apr 1993,13.59
Mar 1993,13.32
Feb 1993,12.95
Jan 1993,12.31
Dec 1992,12.62
Nov 1992,14.08
Oct 1992,15.35
Sep 1992,15.18
Aug 1992,14.98
Jul 1992,15.35
Jun 1992,15.22
May 1992,14.2
Apr 1992,12.28
Mar 1992,10.6
Feb 1992,10.04
Jan 1992,9.93
Dec 1991,10.87
Nov 1991,13.26
Oct 1991,14.33
Sep 1991,13.45
Aug 1991,13.17
Jul 1991,13.4
Jun 1991,12.51
May 1991,12.85
Apr 1991,12.82
Mar 1991,11.4
Feb 1991,11.38
Jan 1991,16.82
Dec 1990,20.81
Nov 1990,24.58
Oct 1990,26.45
Sep 1990,24.52
Aug 1990,19.65
Jul 1990,11.42
Jun 1990,9.62
May 1990,11.18
Apr 1990,11.95
Mar 1990,14.05
Feb 1990,14.92
Jan 1990,16.32
Dec 1989,16.54
Nov 1989,15.08
Oct 1989,15.1
Sep 1989,14.44
Aug 1989,14.34
Jul 1989,15.37
Jun 1989,15.38
May 1989,15.81
Apr 1989,15.91
Mar 1989,13.39
Feb 1989,12.5
Jan 1989,12.42
Dec 1988,10.48
Nov 1988,9.14
Oct 1988,8.83
Sep 1988,10.92
Aug 1988,11.62
Jul 1988,11.25
Jun 1988,12.1
May 1988,13.08
Apr 1988,12.72
Mar 1988,10.65
Feb 1988,11.99
Jan 1988,11.83
Dec 1987,11.39
Nov 1987,14.85
Oct 1987,15.88
Sep 1987,15.64
Aug 1987,17.1
Jul 1987,18.01
Jun 1987,17.36
May 1987,17.25
Apr 1987,15.88
Mar 1987,15.06
Feb 1987,14.51
