Gulf Coast (PADD 3) Percent Utilization of Refinery Operable Capacity
https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=MOPUEP32&f=M
19:50:22 GMT-0600 (Mountain Daylight Time)
Source: U.S. Energy Information Administration
Month,Gulf Coast (PADD 3) Percent Utilization of Refinery Operable Capacity Percent
May 2007,88.5
Apr 2007,87.6
Mar 2007,90.9
Feb 2007,84.7
Jan 2007,87
Dec 2006,90.6
Nov 2006,88.2
Oct 2006,87.9
Sep 2006,92.7
Aug 2006,92.1
Jul 2006,93.1
Jun 2006,91.8
May 2006,90.5
Apr 2006,87.2
Mar 2006,84.4
Feb 2006,84.2
Jan 2006,81
Dec 2005,85.4
Nov 2005,83.4
Oct 2005,69.2
Sep 2005,70.3
Aug 2005,93
Jul 2005,93.7
Jun 2005,98.2
May 2005,94.3
Apr 2005,94.6
Mar 2005,93.7
Feb 2005,92.8
Jan 2005,91.3
Dec 2004,97.5
Nov 2004,96.5
Oct 2004,91.3
Sep 2004,91
Aug 2004,99.1
Jul 2004,98.2
Jun 2004,99.1
May 2004,97.9
Apr 2004,93.1
Mar 2004,89.9
Feb 2004,86
Jan 2004,88.9
Dec 2003,95.9
Nov 2003,95.4
Oct 2003,93.9
Sep 2003,94.7
Aug 2003,95.3
Jul 2003,93.4
Jun 2003,93.1
May 2003,97.4
Apr 2003,96.6
Mar 2003,92.2
Feb 2003,88
Jan 2003,86.5
Dec 2002,94.5
Nov 2002,95.4
Oct 2002,86.6
Sep 2002,87.7
Aug 2002,91.6
Jul 2002,92.6
Jun 2002,92.6
May 2002,91.5
Apr 2002,93.8
Mar 2002,89.7
Feb 2002,89.9
Jan 2002,92.4
Dec 2001,94.1
Nov 2001,95.2
Oct 2001,94.7
Sep 2001,94.2
Aug 2001,95.6
Jul 2001,93.5
Jun 2001,96.3
May 2001,98.5
Apr 2001,98.8
Mar 2001,91.6
Feb 2001,91.9
Jan 2001,92.6
Dec 2000,97.4
Nov 2000,95.5
Oct 2000,94.9
Sep 2000,95.7
Aug 2000,96.4
Jul 2000,97.4
Jun 2000,95.7
May 2000,94.9
Apr 2000,93.1
Mar 2000,91.5
Feb 2000,87.9
Jan 2000,86.5
Dec 1999,93.2
Nov 1999,94.3
Oct 1999,92.6
Sep 1999,96.8
Aug 1999,95.4
Jul 1999,95.7
Jun 1999,95.2
May 1999,96.4
Apr 1999,98.7
Mar 1999,96.1
Feb 1999,91.8
Jan 1999,90.8
Dec 1998,98.4
Nov 1998,95.6
Oct 1998,88.9
Sep 1998,94.8
Aug 1998,102.1
Jul 1998,101.2
Jun 1998,100.3
May 1998,100.3
Apr 1998,100.9
Mar 1998,97
Feb 1998,88.3
Jan 1998,91.9
Dec 1997,99.8
Nov 1997,98.7
Oct 1997,98
Sep 1997,100.2
Aug 1997,99.1
Jul 1997,97.1
Jun 1997,99
May 1997,98.7
Apr 1997,96.2
Mar 1997,94.3
Feb 1997,87.1
Jan 1997,90.3
Dec 1996,97
Nov 1996,95.9
Oct 1996,95.7
Sep 1996,96.1
Aug 1996,95.9
Jul 1996,96.1
Jun 1996,98
May 1996,97.7
Apr 1996,97.5
Mar 1996,92
Feb 1996,91
Jan 1996,91.4
Dec 1995,95.3
Nov 1995,93.8
Oct 1995,91.2
Sep 1995,96
Aug 1995,92
Jul 1995,93.7
Jun 1995,96.2
May 1995,94.5
Apr 1995,92.1
Mar 1995,87.1
Feb 1995,87
Jan 1995,89.3
Dec 1994,92.6
Nov 1994,91
Oct 1994,88.5
Sep 1994,94.6
Aug 1994,96.6
Jul 1994,94.5
Jun 1994,94.1
May 1994,95.5
Apr 1994,93.3
